Points,MDL,SPT,HRP,LTK,SDC,PLK,run
100,340,12.5,60,20,0:01:33,0:04:20,0:13:30
99,,12.4,59,,0:01:36,0:04:17,0:13:39
98,,12.2,58,19,0:01:39,0:04:14,0:13:48
97,330,12.1,57,,0:01:41,0:04:11,0:13:57
96,,11.9,56,18,0:01:43,0:04:07,0:14:06
95,,11.8,55,,0:01:45,0:04:04,0:14:15
94,320,11.6,54,17,0:01:46,0:04:01,0:14:24
93,,11.5,53,,0:01:47,0:03:58,0:14:33
92,310,11.3,52,16,0:01:48,0:03:54,0:14:42
91,,11.2,51,,0:01:49,0:03:51,0:14:51
90,300,11,50,15,0:01:50,0:03:48,0:15:00
89,,10.9,49,,0:01:51,0:03:44,0:15:09
88,290,10.7,48,14,0:01:52,0:03:41,0:15:18
87,,10.6,47,,0:01:53,0:03:38,0:15:27
86,280,10.4,46,13,0:01:54,0:03:35,0:15:36
85,,10.3,45,,0:01:55,0:03:31,0:15:45
84,270,10.1,44,12,0:01:56,0:03:28,0:15:54
83,,10,43,,0:01:57,0:03:25,0:16:03
82,260,9.8,42,11,0:01:58,0:03:21,0:16:12
81,,9.7,41,,0:01:59,0:03:18,0:16:21
80,250,9.5,40,10,0:02:00,0:03:15,0:16:30
79,,9.4,39,,0:02:01,0:03:12,0:16:39
78,240,9.2,38,9,0:02:02,0:03:08,0:16:48
77,,9.1,37,,0:02:03,0:03:05,0:16:57
76,230,8.9,36,8,0:02:04,0:03:02,0:17:06
75,,8.8,35,,0:02:05,0:02:58,0:17:15
74,220,8.6,34,7,0:02:06,0:02:55,0:17:24
73,,8.5,33,,0:02:07,0:02:52,0:17:33
72,210,8.3,32,6,0:02:08,0:02:49,0:17:42
71,,8.2,31,,0:02:09,0:02:45,0:17:51
70,200,8,30,5,0:02:10,0:02:42,0:18:00
69,,7.8,28,,0:02:14,0:02:39,0:18:12
68,190,7.5,26,4,0:02:18,0:02:35,0:18:24
67,,7.1,24,,0:02:22,0:02:32,0:18:36
66,,6.8,22,,0:02:26,0:02:29,0:18:48
65,180,6.5,20,3,0:02:30,0:02:26,0:19:00
64,170,6.2,18,,0:02:35,0:02:22,0:19:24
63,160,5.8,16,,0:02:40,0:02:19,0:19:48
62,150,5.4,14,2,0:02:45,0:02:16,0:20:12
61,,4.9,12,,0:02:50,0:02:12,0:20:36
60,140,4.5,10,1,0:03:00,0:02:09,0:21:00
59,,,,,0:03:01,0:02:06,0:21:01
58,,,,,0:03:02,0:02:03,0:21:03
57,,,,,0:03:03,,0:21:05
56,,,,,0:03:04,,0:21:07
55,,4.4,9,,0:03:05,,0:21:09
54,,,,,0:03:06,,0:21:10
53,,,,,0:03:07,,0:21:12
52,,,,,0:03:08,,0:21:14
51,,,,,0:03:09,,0:21:16
50,130,4.3,8,,0:03:10,,0:21:18
49,,,,,,,0:21:19
48,,,,,0:03:11,,0:21:21
47,,,,,,,0:21:23
46,,,,,0:03:12,,0:21:25
45,,4.2,7,,,,0:21:27
44,,,,,0:03:13,,0:21:28
43,,,,,,,0:21:30
42,,,,,0:03:14,,0:21:32
41,,,,,,,0:21:34
40,120,4.1,6,,0:03:15,,0:21:36
39,,,,,,,0:21:37
38,,,,,0:03:16,,0:21:39
37,,,,,,,0:21:41
36,,,,,0:03:17,,0:21:43
35,,4,5,,,,0:21:45
34,,,,,0:03:18,,0:21:46
33,,,,,,,0:21:48
32,,,,,0:03:19,,0:21:50
31,,,,,,,0:21:52
30,110,3.9,4,,0:03:20,,0:21:54
29,,,,,,,0:21:55
28,,,,,0:03:21,,0:21:57
27,,,,,,,0:21:59
26,,,,,0:03:22,,0:22:01
25,,3.8,3,,,,0:22:03
24,,,,,0:03:23,,0:22:04
23,,,,,,,0:22:06
22,,,,,0:03:24,,0:22:08
21,,,,,,,0:22:10
20,100,3.7,2,,0:03:25,,0:22:12
19,,,,,,,0:22:13
18,,,,,0:03:26,,0:22:15
17,,,,,,,0:22:17
16,,,,,0:03:27,,0:22:19
15,,3.6,1,,,,0:22:21
14,,,,,0:03:28,,0:22:22
13,,,,,,,0:22:24
12,,,,,0:03:29,,0:22:26
11,,,,,,,0:22:28
10,90,3.5,,,0:03:30,,0:22:30
9,,,,,,,0:22:31
8,,,,,0:03:31,,0:22:33
7,,,,,,,0:22:35
6,,,,,0:03:32,,0:22:37
5,,3.4,,,,,0:22:39
4,,,,,0:03:33,,0:22:40
3,,,,,,,0:22:42
2,,,,,0:03:34,,0:22:44
1,,,,,,,0:22:46
0,80,3.3,0,0,0:03:35,,0:22:48
